current_density,cell_voltage,pressure,relative_humidity,membrane_compression
1450,0.251,5,30,5
1360,0.301,5,30,5
1260,0.351,5,30,5
1140,0.401,5,30,5
1020,0.451,5,30,5
899,0.501,5,30,5
769,0.551,5,30,5
635,0.601,5,30,5
499,0.651,5,30,5
366,0.701,5,30,5
242,0.751,5,30,5
141,0.801,5,30,5
76.1,0.849,5,30,5
44,0.9,5,30,5
980,0.273,5,30,11.8
902,0.324,5,30,11.8
818,0.373,5,30,11.8
733,0.423,5,30,11.8
644,0.473,5,30,11.8
554,0.524,5,30,11.8
462,0.573,5,30,11.8
365,0.623,5,30,11.8
261,0.673,5,30,11.8
175,0.724,5,30,11.8
118,0.771,5,30,11.8
74.4,0.822,5,30,11.8
63.6,0.871,5,30,11.8
41.7,0.923,5,30,11.8
36.5,0.957,5,30,11.8
0,0.972,5,30,18
3.28,0.912,5,30,18
19.5,0.87,5,30,18
28.1,0.824,5,30,18
64.8,0.774,5,30,18
120,0.724,5,30,18
188,0.675,5,30,18
274,0.624,5,30,18
370,0.574,5,30,18
466,0.524,5,30,18
552,0.475,5,30,18
629,0.424,5,30,18
697,0.374,5,30,18
757,0.324,5,30,18
812,0.275,5,30,18
859,0.224,5,30,18
1600,0.25,15,30,5
1500,0.299,15,30,5
1390,0.349,15,30,5
1270,0.4,15,30,5
1140,0.45,15,30,5
1000,0.499,15,30,5
863,0.549,15,30,5
716,0.6,15,30,5
568,0.649,15,30,5
422,0.699,15,30,5
281,0.749,15,30,5
162,0.8,15,30,5
85.9,0.846,15,30,5
43.5,0.899,15,30,5
1340,0.245,15,30,11.8
1250,0.295,15,30,11.8
1150,0.344,15,30,11.8
1050,0.395,15,30,11.8
950,0.445,15,30,11.8
842,0.495,15,30,11.8
727,0.545,15,30,11.8
606,0.595,15,30,11.8
480,0.645,15,30,11.8
349,0.695,15,30,11.8
227,0.744,15,30,11.8
133,0.795,15,30,11.8
82.5,0.84,15,30,11.8
61.2,0.891,15,30,11.8
43.3,0.935,15,30,11.8
37.9,0.972,15,30,11.8
1040,0.205,15,30,18
988,0.254,15,30,18
929,0.304,15,30,18
865,0.354,15,30,18
795,0.404,15,30,18
722,0.454,15,30,18
642,0.504,15,30,18
557,0.554,15,30,18
465,0.604,15,30,18
369,0.654,15,30,18
272,0.704,15,30,18
177,0.754,15,30,18
90.7,0.804,15,30,18
33.3,0.854,15,30,18
17.8,0.899,15,30,18
0.527,0.942,15,30,18
0,1,15,30,18
1900,0.269,25,30,5
1740,0.319,25,30,5
1590,0.369,25,30,5
1440,0.419,25,30,5
1280,0.469,25,30,5
1120,0.519,25,30,5
961,0.569,25,30,5
794,0.619,25,30,5
627,0.669,25,30,5
462,0.719,25,30,5
307,0.769,25,30,5
181,0.819,25,30,5
103,0.863,25,30,5
51.6,0.916,25,30,5
1990,0.254,25,30,11.8
1830,0.305,25,30,11.8
1680,0.355,25,30,11.8
1520,0.404,25,30,11.8
1350,0.454,25,30,11.8
1180,0.505,25,30,11.8
1010,0.555,25,30,11.8
824,0.604,25,30,11.8
638,0.654,25,30,11.8
456,0.705,25,30,11.8
297,0.755,25,30,11.8
171,0.804,25,30,11.8
94.7,0.852,25,30,11.8
58.4,0.903,25,30,11.8
41.5,0.955,25,30,11.8
36.6,0.983,25,30,11.8
1150,0.212,25,30,18
1090,0.261,25,30,18
1020,0.311,25,30,18
953,0.361,25,30,18
876,0.411,25,30,18
794,0.461,25,30,18
707,0.511,25,30,18
613,0.561,25,30,18
511,0.611,25,30,18
407,0.661,25,30,18
302,0.711,25,30,18
201,0.761,25,30,18
109,0.811,25,30,18
40.2,0.861,25,30,18
19.3,0.906,25,30,18
0.951,0.952,25,30,18
0,1.01,25,30,18
1450,0.265,5,50,5
1350,0.315,5,50,5
1240,0.366,5,50,5
1130,0.415,5,50,5
1010,0.465,5,50,5
887,0.515,5,50,5
757,0.565,5,50,5
624,0.615,5,50,5
489,0.665,5,50,5
363,0.715,5,50,5
235,0.766,5,50,5
131,0.816,5,50,5
62.8,0.866,5,50,5
36.7,0.916,5,50,5
36.5,0.98,5,50,11.8
55.5,0.924,5,50,11.8
58,0.878,5,50,11.8
73.9,0.832,5,50,11.8
105,0.782,5,50,11.8
164,0.733,5,50,11.8
309,0.679,5,50,11.8
466,0.629,5,50,11.8
584,0.579,5,50,11.8
687,0.528,5,50,11.8
783,0.478,5,50,11.8
871,0.429,5,50,11.8
955,0.379,5,50,11.8
1030,0.328,5,50,11.8
1110,0.278,5,50,11.8
1180,0.229,5,50,11.8
0,0.99,5,50,18
0,0.929,5,50,18
14.2,0.882,5,50,18
23.6,0.838,5,50,18
